objectid,Class,Name,,,,,,,,,,,,,,,,,,,,,,,,,
73,5,Show Manager,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,Apples to Apples,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,Falling,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,Air Baron,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,EastFront,,,,,,,,,,,,,,,,,,,,,,,,,
78,2,WestFront,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,MedFront,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,VolgaFront,,,,,,,,,,,,,,,,,,,,,,,,,
81,2,EuroFront,,,,,,,,,,,,,,,,,,,,,,,,,
82,2,Bobby Lee,,,,,,,,,,,,,,,,,,,,,,,,,
83,2,Sam Grant,,,,,,,,,,,,,,,,,,,,,,,,,
84,2,Rommel in the Desert,,,,,,,,,,,,,,,,,,,,,,,,,
85,2,Quebec 1759,,,,,,,,,,,,,,,,,,,,,,,,,
87,2,Victory World War II,,,,,,,,,,,,,,,,,,,,,,,,,
88,3,Torres,,,,,,,,,,,,,,,,,,,,,,,,,
89,2,Blue vs. Gray,,,,,,,,,,,,,,,,,,,,,,,,,
90,5,Star Wars Episode 1  Clash of the Lightsabers,,,,,,,,,,,,,,,,,,,,,,,,,
91,2,Paths of Glory,,,,,,,,,,,,,,,,,,,,,,,,,
93,4,El Grande,,,,,,,,,,,,,,,,,,,,,,,,,
94,4,Union Pacific,,,,,,,,,,,,,,,,,,,,,,,,,
95,5,Igel \u00c4rgern,,,,,,,,,,,,,,,,,,,,,,,,,
96,2,Broadsides and Boarding Parties,,,,,,,,,,,,,,,,,,,,,,,,,
97,2,Conquest of the Empire,,,,,,,,,,,,,,,,,,,,,,,,,
98,3,Axis and Allies,,,,,,,,,,,,,,,,,,,,,,,,,
99,2,Fortress America,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,Detroit-Cleveland Grand Prix,,,,,,,,,,,,,,,,,,,,,,,,,
102,5,Klunker,,,,,,,,,,,,,,,,,,,,,,,,,
103,3,Titan,,,,,,,,,,,,,,,,,,,,,,,,,
104,4,Extrablatt,,,,,,,,,,,,,,,,,,,,,,,,,
105,3,Titan The Arena,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,Mystery Rummy Jack the Ripper,,,,,,,,,,,,,,,,,,,,,,,,,
107,5,Peaceful Resistance,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,TAMSK,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,Wettstreit der Baumeister,,,,,,,,,,,,,,,,,,,,,,,,,
110,4,Auf Achse,,,,,,,,,,,,,,,,,,,,,,,,,
111,4,Rheinländer,,,,,,,,,,,,,,,,,,,,,,,,,
112,4,Condottiere,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,Mit List und Tüccke,,,,,,,,,,,,,,,,,,,,,,,,,
114,4,Ransom,,,,,,,,,,,,,,,,,,,,,,,,,
115,5,I'm the Boss!,,,,,,,,,,,,,,,,,,,,,,,,,
116,3,Guillotine,,,,,,,,,,,,,,,,,,,,,,,,,
117,4,Tayu,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,Modern Art,,,,,,,,,,,,,,,,,,,,,,,,,
119,5,Kingdoms,,,,,,,,,,,,,,,,,,,,,,,,,
120,5,Hoity Toity,,,,,,,,,,,,,,,,,,,,,,,,,
121,3,Frank Herbert's Dune,,,,,,,,,,,,,,,,,,,,,,,,,
122,5,Quo Vadis?,,,,,,,,,,,,,,,,,,,,,,,,,
123,5,Green Thumb Cards,,,,,,,,,,,,,,,,,,,,,,,,,
124,3,Ursuppe,,,,,,,,,,,,,,,,,,,,,,,,,
125,5,Money!,,,,,,,,,,,,,,,,,,,,,,,,,
126,5,The Really Nasty Horse Racing Game,,,,,,,,,,,,,,,,,,,,,,,,,
127,3,Princess Ryan's Star Marines,,,,,,,,,,,,,,,,,,,,,,,,,
128,5,Take it Easy!,,,,,,,,,,,,,,,,,,,,,,,,,
130,4,Iron Dragon,,,,,,,,,,,,,,,,,,,,,,,,,
132,5,Caesar & Cleopatra,,,,,,,,,,,,,,,,,,,,,,,,,
133,3,Frischfleisch,,,,,,,,,,,,,,,,,,,,,,,,,
134,5,Cape Horn,,,,,,,,,,,,,,,,,,,,,,,,,
135,4,Kontor,,,,,,,,,,,,,,,,,,,,,,,,,
136,5,Robin Hood,,,,,,,,,,,,,,,,,,,,,,,,,
137,0,Travel Pass the Bomb,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,Hoax,,,,,,,,,,,,,,,,,,,,,,,,,
140,4,Pit,,,,,,,,,,,,,,,,,,,,,,,,,
141,4,Andromeda,,,,,,,,,,,,,,,,,,,,,,,,,
142,4,Vino,,,,,,,,,,,,,,,,,,,,,,,,,
143,5,Wortelboer,,,,,,,,,,,,,,,,,,,,,,,,,
144,5,Elfenwizards,,,,,,,,,,,,,,,,,,,,,,,,,
145,5,Metropolis,,,,,,,,,,,,,,,,,,,,,,,,,
146,4,Palmyra,,,,,,,,,,,,,,,,,,,,,,,,,
147,4,Crude The Oil Game,,,,,,,,,,,,,,,,,,,,,,,,,
148,5,Die Glüccksritter,,,,,,,,,,,,,,,,,,,,,,,,,
150,5,PitchCar,,,,,,,,,,,,,,,,,,,,,,,,,
151,5,Piratenbillard,,,,,,,,,,,,,,,,,,,,,,,,,
152,5,Müc & More,,,,,,,,,,,,,,,,,,,,,,,,,
153,5,Take 5!,,,,,,,,,,,,,,,,,,,,,,,,,
154,4,Union vs. Central,,,,,,,,,,,,,,,,,,,,,,,,,
155,0,Was sticht?,,,,,,,,,,,,,,,,,,,,,,,,,
156,4,Wildlife Adventure,,,,,,,,,,,,,,,,,,,,,,,,,
157,4,Eurorails,,,,,,,,,,,,,,,,,,,,,,,,,
158,4,Elfengold,,,,,,,,,,,,,,,,,,,,,,,,,
162,2,The Awful Green Things From Outer Space,,,,,,,,,,,,,,,,,,,,,,,,,
163,0,Balderdash,,,,,,,,,,,,,,,,,,,,,,,,,
164,5,James Ernest's Totally Renamed Spy Game,,,,,,,,,,,,,,,,,,,,,,,,,
165,5,La Boite Magique,,,,,,,,,,,,,,,,,,,,,,,,,
166,2,Black Death,,,,,,,,,,,,,,,,,,,,,,,,,
167,4,Dicke Kartoffeln,,,,,,,,,,,,,,,,,,,,,,,,,
168,4,Empire Builder,,,,,,,,,,,,,,,,,,,,,,,,,
169,5,En Garde,,,,,,,,,,,,,,,,,,,,,,,,,
170,0,Family Business,,,,,,,,,,,,,,,,,,,,,,,,,
171,4,Chess,,,,,,,,,,,,,,,,,,,,,,,,,
172,1,sale,,,,,,,,,,,,,,,,,,,,,,,,,
173,3,Formula De,,,,,,,,,,,,,,,,,,,,,,,,,
174,5,T-Rex,,,,,,,,,,,,,,,,,,,,,,,,,
175,5,What The Heck?,,,,,,,,,,,,,,,,,,,,,,,,,
176,5,Give Me the Brain Superdeluxe Edition,,,,,,,,,,,,,,,,,,,,,,,,,
177,4,Advanced Civilization,,,,,,,,,,,,,,,,,,,,,,,,,
178,5,Mole Hill,,,,,,,,,,,,,,,,,,,,,,,,,
179,5,Walkover,,,,,,,,,,,,,,,,,,,,,,,,,
180,5,Pool Position,,,,,,,,,,,,,,,,,,,,,,,,,
181,4,Risk!,,,,,,,,,,,,,,,,,,,,,,,,,
182,5,Knights of Charlemagne,,,,,,,,,,,,,,,,,,,,,,,,,
183,5,Stonehenge,,,,,,,,,,,,,,,,,,,,,,,,,
185,5,Devil Bunny Needs a Ham,,,,,,,,,,,,,,,,,,,,,,,,,
186,5,Split,,,,,,,,,,,,,,,,,,,,,,,,,
188,4,Go,,,,,,,,,,,,,,,,,,,,,,,,,
189,5,Die Siedler von Nücrnberg,,,,,,,,,,,,,,,,,,,,,,,,,
190,5,Dolce Vita,,,,,,,,,,,,,,,,,,,,,,,,,
192,5,Nicht die Bohne!,,,,,,,,,,,,,,,,,,,,,,,,,
193,5,Tutto! Volle Lotte,,,,,,,,,,,,,,,,,,,,,,,,,
194,5,Groo The Game,,,,,,,,,,,,,,,,,,,,,,,,,
195,5,NASCAR Champions,,,,,,,,,,,,,,,,,,,,,,,,,
196,5,Kremlin,,,,,,,,,,,,,,,,,,,,,,,,,
197,4,HellRail Second Perdition,,,,,,,,,,,,,,,,,,,,,,,,,
198,5,Buried Treasure,,,,,,,,,,,,,,,,,,,,,,,,,
199,4,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,
200,5,Entdecker,,,,,,,,,,,,,,,,,,,,,,,,,
201,5,The Rose King,,,,,,,,,,,,,,,,,,,,,,,,,
202,5,Targui,,,,,,,,,,,,,,,,,,,,,,,,,
203,5,Skworms,,,,,,,,,,,,,,,,,,,,,,,,,
204,4,Stephensons Rocket,,,,,,,,,,,,,,,,,,,,,,,,,
206,5,Pepper,,,,,,,,,,,,,,,,,,,,,,,,,
207,5,Twitch,,,,,,,,,,,,,,,,,,,,,,,,,
208,5,Ex & Hopp,,,,,,,,,,,,,,,,,,,,,,,,,
210,5,Don Pepe,,,,,,,,,,,,,,,,,,,,,,,,,
211,5,Times to Remember,,,,,,,,,,,,,,,,,,,,,,,,,
214,5,Tactix,,,,,,,,,,,,,,,,,,,,,,,,,
215,0,Tichu,,,,,,,,,,,,,,,,,,,,,,,,,
216,2,Atlanteon,,,,,,,,,,,,,,,,,,,,,,,,,
217,5,A la carte,,,,,,,,,,,,,,,,,,,,,,,,,
218,5,High-Bid,,,,,,,,,,,,,,,,,,,,,,,,,
219,5,Volle Hüctte,,,,,,,,,,,,,,,,,,,,,,,,,
220,4,High Society,,,,,,,,,,,,,,,,,,,,,,,,,
221,4,Shogun,,,,,,,,,,,,,,,,,,,,,,,,,
222,5,Space Beans,,,,,,,,,,,,,,,,,,,,,,,,,
223,4,National Geographic Expedition,,,,,,,,,,,,,,,,,,,,,,,,,
224,4,History of the World,,,,,,,,,,,,,,,,,,,,,,,,,
225,5,Icehouse,,,,,,,,,,,,,,,,,,,,,,,,,
226,5,Isi,,,,,,,,,,,,,,,,,,,,,,,,,
227,5,Knightmare Chess,,,,,,,,,,,,,,,,,,,,,,,,,
228,5,Lunch Money,,,,,,,,,,,,,,,,,,,,,,,,,
229,5,King of the Elves,,,,,,,,,,,,,,,,,,,,,,,,,
230,4,Merchant of Venus,,,,,,,,,,,,,,,,,,,,,,,,,
231,2,Geronimo,,,,,,,,,,,,,,,,,,,,,,,,,
232,4,Serenissima (first edition),,,,,,,,,,,,,,,,,,,,,,,,,
234,2,Hannibal Rome vs. Carthage,,,,,,,,,,,,,,,,,,,,,,,,,
235,2,Blackbeard,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,Wooden Ships & Iron Men,,,,,,,,,,,,,,,,,,,,,,,,,
239,2,Wagram,,,,,,,,,,,,,,,,,,,,,,,,,
240,3,Britannia,,,,,,,,,,,,,,,,,,,,,,,,,
241,5,Age of Exploration,,,,,,,,,,,,,,,,,,,,,,,,,
242,3,Junta,,,,,,,,,,,,,,,,,,,,,,,,,
243,3,Advanced Squad Leader Rule Book,,,,,,,,,,,,,,,,,,,,,,,,,
244,3,Circus Maximus,,,,,,,,,,,,,,,,,,,,,,,,,
246,5,Politika,,,,,,,,,,,,,,,,,,,,,,,,,
247,5,Gloria Picktoria,,,,,,,,,,,,,,,,,,,,,,,,,
248,4,Blood Royale,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,Seenot im Rettungsboot,,,,,,,,,,,,,,,,,,,,,,,,,
250,4,Colonial Diplomacy,,,,,,,,,,,,,,,,,,,,,,,,,
252,2,Borodino,,,,,,,,,,,,,,,,,,,,,,,,,
254,2,Empires in Arms,,,,,,,,,,,,,,,,,,,,,,,,,
255,2,Jena-Auerstadt,,,,,,,,,,,,,,,,,,,,,,,,,
256,4,Mississippi Queen,,,,,,,,,,,,,,,,,,,,,,,,,
257,0,Kill Doctor Lucky Director's Cut,,,,,,,,,,,,,,,,,,,,,,,,,
258,5,Fluxx,,,,,,,,,,,,,,,,,,,,,,,,,
259,5,Atlantic Storm,,,,,,,,,,,,,,,,,,,,,,,,,
260,2,Starship Troopers Prepare For Battle!,,,,,,,,,,,,,,,,,,,,,,,,,
261,5,Olympia 2000 (v. Chr.),,,,,,,,,,,,,,,,,,,,,,,,,
263,5,Manitou,,,,,,,,,,,,,,,,,,,,,,,,,
264,5,Enemy in Sight,,,,,,,,,,,,,,,,,,,,,,,,,
265,4,Intrigue,,,,,,,,,,,,,,,,,,,,,,,,,
267,5,Tycoon,,,,,,,,,,,,,,,,,,,,,,,,,
268,4,Cheops,,,,,,,,,,,,,,,,,,,,,,,,,
270,4,Svea Rike,,,,,,,,,,,,,,,,,,,,,,,,,
271,0,It's Mine!,,,,,,,,,,,,,,,,,,,,,,,,,
272,5,Downtown,,,,,,,,,,,,,,,,,,,,,,,,,
273,3,Africa 1880,,,,,,,,,,,,,,,,,,,,,,,,,
274,5,Guerilla,,,,,,,,,,,,,,,,,,,,,,,,,
275,5,Extinction,,,,,,,,,,,,,,,,,,,,,,,,,
276,2,La Guerre de l'Empereur,,,,,,,,,,,,,,,,,,,,,,,,,
277,5,Res Publica,,,,,,,,,,,,,,,,,,,,,,,,,
278,4,The Settlers of Catan Card Game,,,,,,,,,,,,,,,,,,,,,,,,,
279,5,The Very Clever Pipe Game,,,,,,,,,,,,,,,,,,,,,,,,,
280,5,Neue Spiele im alten Rom,,,,,,,,,,,,,,,,,,,,,,,,,
281,4,Ostindiska Kompaniet,,,,,,,,,,,,,,,,,,,,,,,,,
282,2,Vikingatid,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,Advanced Third Reich,,,,,,,,,,,,,,,,,,,,,,,,,
284,4,Lords of the Sierra Madre (second edition),,,,,,,,,,,,,,,,,,,,,,,,,
285,2,Monsters Ravage America,,,,,,,,,,,,,,,,,,,,,,,,,
286,5,Machiavelli,,,,,,,,,,,,,,,,,,,,,,,,,
287,5,Bazaar,,,,,,,,,,,,,,,,,,,,,,,,,
288,2,Rossy\u00efa 1917,,,,,,,,,,,,,,,,,,,,,,,,,
289,2,Chariot Lords,,,,,,,,,,,,,,,,,,,,,,,,,
290,5,Gold Digger,,,,,,,,,,,,,,,,,,,,,,,,,
291,5,Courtisans of Versailles,,,,,,,,,,,,,,,,,,,,,,,,,
292,5,Attacke,,,,,,,,,,,,,,,,,,,,,,,,,
293,5,bamboleo,,,,,,,,,,,,,,,,,,,,,,,,,
294,5,Keydom,,,,,,,,,,,,,,,,,,,,,,,,,
295,5,Europa 1945-2030,,,,,,,,,,,,,,,,,,,,,,,,,
296,4,Medieval Merchant,,,,,,,,,,,,,,,,,,,,,,,,,
297,5,Stadens Nyckel,,,,,,,,,,,,,,,,,,,,,,,,,
298,5,Lang lebe der König!,,,,,,,,,,,,,,,,,,,,,,,,,
299,3,De Bellis Antiquitatis,,,,,,,,,,,,,,,,,,,,,,,,,
300,5,Tutankhamen,,,,,,,,,,,,,,,,,,,,,,,,,
301,5,Campanile,,,,,,,,,,,,,,,,,,,,,,,,,
302,5,Forum Romanum,,,,,,,,,,,,,,,,,,,,,,,,,
303,5,Koalition,,,,,,,,,,,,,,,,,,,,,,,,,
304,5,Evergreen,,,,,,,,,,,,,,,,,,,,,,,,,
305,4,Der Fliegende Holländer,,,,,,,,,,,,,,,,,,,,,,,,,
306,4,Die Siedler von Catan Historische Szenarien,,,,,,,,,,,,,,,,,,,,,,,,,
307,5,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,
308,4,Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,
309,4,Arabana-Ikibiti,,,,,,,,,,,,,,,,,,,,,,,,,
310,3,Wizard's Quest,,,,,,,,,,,,,,,,,,,,,,,,,
311,5,Time Agent,,,,,,,,,,,,,,,,,,,,,,,,,
312,0,Landlord!,,,,,,,,,,,,,,,,,,,,,,,,,
313,4,Big Boss,,,,,,,,,,,,,,,,,,,,,,,,,
314,2,Highlanders,,,,,,,,,,,,,,,,,,,,,,,,,
315,5,Tigo,,,,,,,,,,,,,,,,,,,,,,,,,
316,5,Chase,,,,,,,,,,,,,,,,,,,,,,,,,
317,5,The Mob,,,,,,,,,,,,,,,,,,,,,,,,,
318,5,Looney Leo,,,,,,,,,,,,,,,,,,,,,,,,,
319,5,Top It,,,,,,,,,,,,,,,,,,,,,,,,,
320,4,Scrabble,,,,,,,,,,,,,,,,,,,,,,,,,
321,5,Mole in the Hole \/ Taupes et Compagnie,,,,,,,,,,,,,,,,,,,,,,,,,
322,5,Tonga Bonga,,,,,,,,,,,,,,,,,,,,,,,,,
323,5,Anno 1452,,,,,,,,,,,,,,,,,,,,,,,,,
324,4,Ponte Vecchio,,,,,,,,,,,,,,,,,,,,,,,,,
325,4,The Seafarers of Catan,,,,,,,,,,,,,,,,,,,,,,,,,
327,5,Loopin' Louie,,,,,,,,,,,,,,,,,,,,,,,,,
328,2,Damn the Torpedoes!,,,,,,,,,,,,,,,,,,,,,,,,,
329,2,Russian Front,,,,,,,,,,,,,,,,,,,,,,,,,
330,2,Block Mania,,,,,,,,,,,,,,,,,,,,,,,,,
332,4,Vernissage,,,,,,,,,,,,,,,,,,,,,,,,,
333,5,Waterworks,,,,,,,,,,,,,,,,,,,,,,,,,
334,5,Monopoly Advance To Boardwalk,,,,,,,,,,,,,,,,,,,,,,,,,
335,2,Breakthru,,,,,,,,,,,,,,,,,,,,,,,,,
336,5,Jumpin,,,,,,,,,,,,,,,,,,,,,,,,,
337,5,Circus Flohcati,,,,,,,,,,,,,,,,,,,,,,,,,
338,5,Bargain Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
339,5,Quiddler Deluxe,,,,,,,,,,,,,,,,,,,,,,,,,
340,0,Frank's Zoo,,,,,,,,,,,,,,,,,,,,,,,,,
342,5,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,
343,0,Twins,,,,,,,,,,,,,,,,,,,,,,,,,
344,0,Members Only,,,,,,,,,,,,,,,,,,,,,,,,,
345,4,Prairie Railroads,,,,,,,,,,,,,,,,,,,,,,,,,
347,5,Fishy,,,,,,,,,,,,,,,,,,,,,,,,,
348,4,Merchants of the Middle Ages,,,,,,,,,,,,,,,,,,,,,,,,,
349,5,Halunken & Spelunken,,,,,,,,,,,,,,,,,,,,,,,,,
350,5,Hattrick,,,,,,,,,,,,,,,,,,,,,,,,,
352,5,The Trumpet Game,,,,,,,,,,,,,,,,,,,,,,,,,
353,0,Inkognito The Card Game,,,,,,,,,,,,,,,,,,,,,,,,,
354,5,Sticheln,,,,,,,,,,,,,,,,,,,,,,,,,
355,4,Das letzte Paradies,,,,,,,,,,,,,,,,,,,,,,,,,
356,5,Ab die Post!,,,,,,,,,,,,,,,,,,,,,,,,,
357,5,Excape,,,,,,,,,,,,,,,,,,,,,,,,,
359,5,Bucket Brigade,,,,,,,,,,,,,,,,,,,,,,,,,
360,5,Quests of the Round Table,,,,,,,,,,,,,,,,,,,,,,,,,
361,5,Hare & Tortoise,,,,,,,,,,,,,,,,,,,,,,,,,
362,5,Elefantenparade,,,,,,,,,,,,,,,,,,,,,,,,,
363,5,Katzenjammer Blues,,,,,,,,,,,,,,,,,,,,,,,,,
364,4,Samarkand,,,,,,,,,,,,,,,,,,,,,,,,,
365,5,Tricks,,,,,,,,,,,,,,,,,,,,,,,,,
366,5,Viva Pamplona!,,,,,,,,,,,,,,,,,,,,,,,,,
367,5,Overthrone,,,,,,,,,,,,,,,,,,,,,,,,,
368,5,Relationship Tightrope,,,,,,,,,,,,,,,,,,,,,,,,,
369,5,Poo-Ka-Boo,,,,,,,,,,,,,,,,,,,,,,,,,
370,4,El Grande König & Intrigant,,,,,,,,,,,,,,,,,,,,,,,,,
371,0,Mystery Rummy Murders in the Rue Morgue,,,,,,,,,,,,,,,,,,,,,,,,,
372,0,Schotten Totten,,,,,,,,,,,,,,,,,,,,,,,,,
373,5,Wrott & Swindlers,,,,,,,,,,,,,,,,,,,,,,,,,
374,5,Colorado County,,,,,,,,,,,,,,,,,,,,,,,,,
375,5,6 Billion,,,,,,,,,,,,,,,,,,,,,,,,,
376,5,DruidenWalzer,,,,,,,,,,,,,,,,,,,,,,,,,
377,5,Neighbors,,,,,,,,,,,,,,,,,,,,,,,,,
378,4,Lancashire Railways,,,,,,,,,,,,,,,,,,,,,,,,,
379,5,Express,,,,,,,,,,,,,,,,,,,,,,,,,
380,5,Polarity,,,,,,,,,,,,,,,,,,,,,,,,,
381,5,X Pasch,,,,,,,,,,,,,,,,,,,,,,,,,
382,5,Heimlich & Co.,,,,,,,,,,,,,,,,,,,,,,,,,
383,5,Turf Horse Racing,,,,,,,,,,,,,,,,,,,,,,,,,
384,5,TurfMaster,,,,,,,,,,,,,,,,,,,,,,,,,
386,5,Privateer,,,,,,,,,,,,,,,,,,,,,,,,,
387,0,Corruption,,,,,,,,,,,,,,,,,,,,,,,,,
388,5,Finale,,,,,,,,,,,,,,,,,,,,,,,,,
389,5,Die Mauer,,,,,,,,,,,,,,,,,,,,,,,,,
391,5,Ocean,,,,,,,,,,,,,,,,,,,,,,,,,
392,5,Brawl,,,,,,,,,,,,,,,,,,,,,,,,,
393,3,Dinosaurs of the Lost World,,,,,,,,,,,,,,,,,,,,,,,,,
394,4,Kahuna,,,,,,,,,,,,,,,,,,,,,,,,,
396,5,Der dreizehnte Holzwurm,,,,,,,,,,,,,,,,,,,,,,,,,
397,3,Diskwars,,,,,,,,,,,,,,,,,,,,,,,,,
398,5,Wildlife Safari,,,,,,,,,,,,,,,,,,,,,,,,,
399,5,Tom Clancy's Politika,,,,,,,,,,,,,,,,,,,,,,,,,
400,5,Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,
401,5,Gold Connection,,,,,,,,,,,,,,,,,,,,,,,,,
403,5,Elk Fest,,,,,,,,,,,,,,,,,,,,,,,,,
404,5,Worm Up!,,,,,,,,,,,,,,,,,,,,,,,,,
406,5,Meteo,,,,,,,,,,,,,,,,,,,,,,,,,
408,5,Zoondo,,,,,,,,,,,,,,,,,,,,,,,,,
409,5,Dschungel,,,,,,,,,,,,,,,,,,,,,,,,,
410,5,D'raf,,,,,,,,,,,,,,,,,,,,,,,,,
412,4,Yukon Company,,,,,,,,,,,,,,,,,,,,,,,,,
413,0,Die Erben von Hoax,,,,,,,,,,,,,,,,,,,,,,,,,
414,5,Around the World in 80 Days,,,,,,,,,,,,,,,,,,,,,,,,,
415,5,Espresso,,,,,,,,,,,,,,,,,,,,,,,,,
416,0,Pazazz,,,,,,,,,,,,,,,,,,,,,,,,,
417,5,Edison & Co.,,,,,,,,,,,,,,,,,,,,,,,,,
420,4,Rail Baron,,,,,,,,,,,,,,,,,,,,,,,,,
