objectid,name,yearpublished,sortindex,minplayers,maxplayers,minplaytime,maxplaytime,totalvotes,usersrated,category1,category2,category3,category4,category5,category6
126163,Tzolk'in  The Mayan Calendar,2012,38,2,4,90,90,409,26626,Ancient, Civilization, Economic, Farming, Mythology,error
237182,Root,2018,39,2,4,60,90,302,13853,Animals, Fantasy, War,error,error,error
72125,Eclipse,2011,40,2,6,60,180,583,24866,Civilization, Fighting, Sci_Fi, Space Exploration, War,error
230802,Azul,2017,41,2,4,30,45,613,38055,strategy, Renaissance,error,error,error,error
35677,Le Havre,2008,42,1,5,30,150,683,24266,City Building, Economic, industry_manuf, War,error,error
167355,Nemesis,2018,43,1,5,90,180,144,6262,Adventure, Horror, Miniatures, Sci_Fi,error,error
216132,Clans of Caledonia,2017,44,1,4,30,120,238,11195,Economic, Farming,error,error,error,error
171623,The Voyages of Marco Polo,2015,45,2,4,40,100,340,17199,Dice, Economic, Medieval, Travel,error,error
121921,Robinson Crusoe  Adventures on the Cursed Island,2012,46,1,4,60,120,665,29386,Adventure, Exploration, Fighting, Adaptation,error,error
124742,Android  Netrunner,2012,47,2,2,45,45,366,25254,Bluffing, card, Collectible, Sci_Fi,error,error
185343,Anachrony Essential Edition,2017,48,1,4,30,120,171,8810,Economic, Sci_Fi,error,error,error,error
68448,7 Wonders,2010,49,2,7,30,30,1834,74520,Ancient, card, City Building, Civilization,error,error
28143,Race for the Galaxy,2007,50,2,4,30,60,997,42615,card, Civilization, Economic, Sci_Fi, Space Exploration,error
122515,Keyflower,2012,51,2,6,90,120,324,17027,City Building, Economic, War, Renaissance, Territory Building, Transportation
62219,Dominant Species,2010,52,2,6,120,240,447,16643,Animals, Environmental, Prehistoric,error,error,error
159675,Fields of Arle,2014,53,1,2,60,120,132,6616,Economic, Farming, industry_manuf,error,error,error
18602,Caylus Premium Limited Edition,2005,54,2,5,60,150,694,25413,City Building, Economic, Medieval,error,error,error
110327,Lords of Waterdeep,2012,55,2,5,60,120,610,41294,City Building, Fantasy,error,error,error,error
157354,Five Tribes  The Djinns of Naqala,2014,56,2,4,40,80,577,28094,Animals, Arabian, Fantasy, Mythology,error,error
125153,The Gallerist,2015,57,1,4,60,150,177,7923,Economic,error,error,error,error,error
201808,Clank!  A Deck-Building Adventure,2016,58,2,4,30,60,318,21265,Adventure, Fantasy,error,error,error,error
12493,Twilight Imperium (Third Edition),2005,59,3,6,180,240,474,17664,Civilization, Negotiation, Political, Sci_Fi, Space Exploration, War
93,El Grande,1995,60,2,5,60,120,511,22117,Medieval, Renaissance,error,error,error,error
205896,Rising Sun,2018,61,3,5,90,120,283,12840,Bluffing, Fantasy, Miniatures, Mythology, Negotiation, War
146021,Eldritch Horror,2013,62,1,8,120,240,646,25811,Adventure, Fantasy, Fighting, Horror, Adaptation, Travel
172386,Mombasa,2015,63,2,4,75,150,180,9610,Economic,error,error,error,error,error
40834,Dominion  Intrigue,2009,64,2,4,30,30,288,28271,card, Medieval,error,error,error,error
37111,Battlestar Galactica  The Board Game,2008,65,3,6,120,180,959,31058,Bluffing, Deduction, Adaptation, Political, Sci_Fi, Space Exploration
178900,Codenames XXL,2015,66,2,8,15,15,837,57212,card, Deduction, Party Game, secret_agent, Word Game,error
161533,Lisboa,2017,67,1,4,60,120,134,5127,City Building, Economic, Political,error,error,error
163412,Patchwork,2014,68,2,2,15,30,298,37986,strategy, Puzzle,error,error,error,error
73439,Troyes,2010,69,2,4,90,90,400,16334,Dice, Economic, Medieval,error,error,error
229853,Teotihuacan  City of Gods,2018,70,1,4,90,120,161,8209,Ancient,error,error,error,error,error
521,\u52a0\u62ff\u5927\u68cb,1876,71,2,4,30,30,168,10385,Dexterity,error,error,error,error,error
199792,Everdell,2018,72,1,4,40,80,147,7997,Animals, card, City Building, Fantasy,error,error
192135,Too Many Bones,2017,73,1,4,60,120,107,3873,Adventure, Dice, Fantasy,error,error,error
144733,Russian Railroads,2013,74,2,4,90,120,190,13090,industry_manuf, Trains,error,error,error,error
132531,Roll for the Galaxy,2014,75,2,5,45,45,290,23115,Civilization, Dice, Economic, Sci_Fi, Space Exploration,error
191189,Aeon's End,2016,76,1,4,60,60,198,7055,card, Fantasy, Fighting, Sci_Fi,error,error
2511,Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases,1981,77,1,8,60,120,247,14768,Deduction, murder_mystery, Adaptation, Post-War, secret_agent,error
42,Tigris & Euphrates,1997,78,2,4,90,90,532,23925,Ancient, Civilization, Territory Building,error,error,error
102680,Trajan,2011,79,2,4,60,120,220,13483,Ancient, Political,error,error,error,error
236457,Architects of the West Kingdom,2018,80,1,5,60,80,202,10239,City Building, Medieval,error,error,error,error
200680,Agricola (Revised Edition),2016,81,1,4,30,120,117,6317,Animals, Economic, Farming,error,error,error
36218,Dominion,2008,82,2,4,30,30,1594,71730,card, Medieval,error,error,error,error
30549,Pandemic,2008,83,2,4,45,45,1514,89581,Medical,error,error,error,error,error
247763,Underwater Cities,2018,84,1,4,80,150,205,5117,card, City Building, Civilization, industry_manuf, War, Sci_Fi
170042,Raiders of the North Sea,2015,85,2,4,60,80,186,11458,Medieval, War,error,error,error,error
198928,Pandemic  Iberia,2016,86,2,5,45,45,95,6984,Medical,error,error,error,error,error
103885,Star Wars  X-Wing Miniatures Game,2012,87,2,2,30,45,334,21679,Aviation, Bluffing, Collectible, Miniatures, Adaptation, Sci_Fi
127023,Kemet,2012,88,2,5,90,120,223,14487,Ancient, Fighting, Miniatures, Mythology,error,error
146508,T.I.M.E Stories,2015,89,2,4,90,90,297,21005,Adventure, Adult, Puzzle, Sci_Fi,error,error
196340,Yokohama,2016,90,2,4,90,90,133,7062,Economic,error,error,error,error,error
150376,Dead of Winter  A Crossroads Game,2014,91,2,5,60,120,537,35465,Bluffing, Deduction, Horror, Zombies,error,error
182874,Grand Austria Hotel,2015,92,2,4,60,120,399,9828,Economic,error,error,error,error,error
34635,Stone Age,2008,93,2,4,60,90,803,40596,Dice, Prehistoric,error,error,error,error
175155,Forbidden Stars,2015,94,2,4,120,180,239,6609,Bluffing, Fighting, Miniatures, Sci_Fi, War,error
172287,Champions of Midgard,2015,95,2,4,60,90,121,10537,Adventure, Dice, Fantasy, Fighting, Medieval, Mythology
104162,Descent  Journeys in the Dark (Second Edition),2012,96,2,5,120,120,383,20701,Adventure, Exploration, Fantasy, Fighting, Miniatures,error
161970,Alchemists,2014,97,2,4,120,120,285,16075,Deduction, Fantasy,error,error,error,error
203993,Lorenzo il Magnifico,2016,98,2,4,60,120,114,6961,Renaissance,error,error,error,error,error
147020,Star Realms,2014,99,2,2,20,20,317,31323,card, Fighting, Sci_Fi,error,error,error
146652,Legendary Encounters  An Alien Deck Building Game,2014,100,1,5,30,60,199,10018,card, Fighting, Horror, Adaptation, Sci_Fi,error
9609,War of the Ring,2004,101,2,4,120,120,316,9605,Adventure, Fantasy, Miniatures, Adaptation, Territory Building, War
244521,The Quacks of Quedlinburg,2018,102,2,4,45,45,162,10754,Medieval,error,error,error,error,error
148949,Istanbul,2014,103,2,5,40,60,264,22106,Economic,error,error,error,error,error
155821,Inis,2016,104,2,4,60,90,219,10089,card, Miniatures, Mythology,error,error,error
103343,A Game of Thrones  The Board Game (Second Edition),2011,105,3,6,120,240,822,25936,Bluffing, Fantasy, Negotiation, Adaptation, Political, War
155426,Castles of Mad King Ludwig,2014,106,1,4,90,90,278,20168,Post-War, Puzzle,error,error,error,error
128882,The Resistance  Avalon,2012,107,5,10,30,30,361,24359,Bluffing, card, Deduction, Fantasy, Medieval, Negotiation
14996,Ticket to Ride  Europe,2005,108,2,5,30,60,678,51162,Trains,error,error,error,error,error
233371,Clank! In! Space!,2017,109,2,4,45,90,84,6548,Sci_Fi,error,error,error,error,error
43111,Chaos in the Old World,2009,110,3,4,60,120,384,13617,Fantasy, Fighting, Horror, Mythology, War,error
225694,Decrypto,2018,111,3,8,15,45,112,7649,Deduction, Party Game, Word Game,error,error,error
17133,Railways of the World,2005,112,2,6,120,120,206,10671,Trains, Transportation, Adaptation,error,error,error
239188,Chronicles of Crime,2018,113,1,4,60,90,164,8287,Adventure, Deduction, murder_mystery,error,error,error
70149,Ora et Labora,2011,114,1,4,60,180,169,9132,City Building, Economic, industry_manuf, Medieval, Religious, Territory Building
14105,Commands and Colors  Ancients,2006,115,2,2,60,60,142,7655,Ancient, War,error,error,error,error
221194,Dinosaur Island,2017,116,1,4,90,120,90,8420,Economic, Sci_Fi,error,error,error,error
233398,Endeavor  Age of Sail,2018,117,2,5,60,90,78,4521,Exploration, War, Renaissance,error,error,error
123260,Suburbia,2012,118,1,4,90,90,296,20018,City Building, Economic,error,error,error,error
77423,The Lord of the Rings  The Card Game,2011,119,1,2,30,60,613,19123,Adventure, card, Fantasy, Adaptation,error,error
194655,Santorini,2016,120,2,4,20,20,277,21311,strategy, Ancient, Mythology,error,error,error
54043,Jaipur,2009,121,2,2,30,30,281,31102,Animals, card,error,error,error,error
43015,Hansa Teutonica,2009,122,2,5,45,90,253,10716,Medieval,error,error,error,error,error
126042,Nations,2013,123,1,5,40,200,243,10457,card, Civilization, Economic,error,error,error
4098,Age of Steam  Deluxe Edition,2002,124,1,6,120,120,136,7881,Economic, Trains, Transportation,error,error,error
175640,Vinhos Deluxe Edition,2016,125,1,4,60,135,63,3237,Economic, industry_manuf,error,error,error,error
10630,Memoir '44,2004,126,2,8,30,60,283,23743,Miniatures, War, War,error,error,error
91,Paths of Glory,1999,127,2,2,480,480,82,4216,War, War,error,error,error,error
233867,\u6b61\u8fce\u4f86\u5230,2018,128,1,100,25,25,138,10627,City Building,error,error,error,error,error
224037,Codenames  Duet,2017,129,2,4,15,30,139,10021,card, Deduction, secret_agent, Word Game,error,error
39463,Cosmic Encounter  42nd Anniversary Edition,2008,130,3,5,60,120,541,25296,Bluffing, Negotiation, Sci_Fi, Space Exploration,error,error
171131,Captain Sonar,2016,131,2,8,45,60,275,13730,Deduction, Fighting, War, Real-time,error,error
155068,Arcadia Quest,2014,132,2,4,60,60,153,8341,Adventure, Fantasy, Fighting, Miniatures,error,error
21050,Combat Commander  Europe,2006,133,2,2,60,180,132,5045,War, War,error,error,error,error
195421,Near and Far,2017,134,2,4,90,120,82,5727,Adventure, Exploration,error,error,error,error
163068,Trickerion  Legends of Illusion,2015,135,2,4,60,180,82,5573,Post-War,error,error,error,error,error
104006,Village,2011,136,2,4,60,90,275,18465,Farming, Medieval,error,error,error,error
118048,Targi,2012,137,2,2,60,60,101,10554,card,error,error,error,error,error
269385,The Lord of the Rings  Journeys in Middle-earth,2019,138,1,5,60,120,160,4468,Adventure, Fantasy, Fighting, Adaptation,error,error
188920,This War of Mine  The Board Game,2017,139,1,6,45,120,274,6375,Adventure, Exploration, Adult, War, Adaptation,error
31627,Ticket to Ride  Nordic Countries,2007,140,2,3,30,60,172,10465,Trains,error,error,error,error,error
199561,Sagrada,2017,141,1,4,30,45,235,19016,Dice, Puzzle,error,error,error,error
82222,Xia  Legends of a Drift System,2014,142,3,5,60,180,171,6227,Adventure, Exploration, Fighting, Sci_Fi, Space Exploration, Transportation
25021,Sekigahara  The Unification of Japan,2011,143,2,2,180,180,51,3739,War, War, War,error,error,error
244522,That's Pretty Clever,2018,144,1,4,30,30,179,9256,Dice,error,error,error,error,error
148228,\u062c\u0648\u0627\u0647\u0631\u064a,2014,145,2,4,30,30,694,50062,card, Economic, Renaissance,error,error,error
9216,Goa  A New Expedition,2004,146,2,4,90,90,275,10684,Economic, Farming, War, Renaissance,error,error
215,Tichu,1991,147,4,4,60,60,262,12519,card,error,error,error,error,error
223321,Detective  A Modern Crime Board Game,2018,148,1,5,120,180,109,4363,Deduction, murder_mystery,error,error,error,error
129437,Legendary  A Marvel Deck Building Game,2012,149,1,5,30,60,388,18107,card, Adaptation,error,error,error,error
146886,La Granja,2014,150,1,4,90,120,135,7244,Economic, Farming,error,error,error,error
176189,Zombicide  Black Plague,2015,151,1,6,60,180,140,10798,Adventure, Fantasy, Fighting, Horror, Medieval, Miniatures
463,Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane,1993,152,2,2,20,20,445,29526,card, Collectible, Fantasy, Fighting,error,error
188,Go,-2200,153,2,2,30,180,195,13752,strategy,error,error,error,error,error
555,The Princes of Florence,2000,154,2,5,75,100,254,14269,City Building, Renaissance,error,error,error,error
27833,Steam,2009,155,3,5,90,90,119,9147,Economic, Trains, Transportation,error,error,error
9209,Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631,2004,156,2,5,30,60,819,64145,Trains,error,error,error,error,error
128621,Viticulture,2013,157,2,6,90,90,123,9076,Economic, Farming,error,error,error,error
182631,Star Realms  Colony Wars,2015,158,2,2,20,20,33,4912,card, Fighting, Sci_Fi,error,error,error
12,Ra,1999,159,2,5,45,60,395,18125,Ancient, Mythology,error,error,error,error
54998,Cyclades,2009,160,2,5,60,90,353,16355,Ancient, City Building, Civilization, Fighting, Miniatures, Mythology
822,Carcassonne,2000,161,2,5,30,45,1868,90370,City Building, Medieval, Territory Building,error,error,error
109276,Kanban  Driver's Edition,2014,162,2,4,90,120,103,4912,Economic, industry_manuf,error,error,error,error
20551,Shogun,2006,163,3,5,90,120,240,12270,Economic, Medieval, Territory Building,error,error,error
31481,Galaxy Trucker,2007,164,2,4,60,60,384,27021,Real-time, Sci_Fi, Space Exploration, Transportation,error,error
245638,Coimbra,2018,165,2,4,60,90,115,6162,Dice, Renaissance,error,error,error,error
220877,Rajas of the Ganges,2017,166,2,4,45,75,104,6619,Dice, Economic, Territory Building,error,error,error
7854,YINSH,2003,167,2,2,30,60,62,6703,strategy,error,error,error,error,error
192291,Sushi Go Party!,2016,168,2,8,20,20,137,16872,card, Party Game,error,error,error,error
285774,Marvel Champions  The Card Game,2019,169,1,4,45,90,132,2894,card, Adaptation,error,error,error,error
421,1830  The Game of Railroads and Robber Barons,1986,170,2,7,180,360,104,4278,Economic, Trains, Transportation,error,error,error
156129,Deception  Murder in Hong Kong,2014,171,4,12,20,20,159,13172,Bluffing, Deduction, murder_mystery, Party Game,error,error
176494,Isle of Skye  From Chieftain to King,2015,172,2,5,30,50,291,17461,Economic, Territory Building,error,error,error,error
155873,Power Grid Deluxe  Europe\/North America,2014,173,2,6,120,120,41,3356,Economic, industry_manuf,error,error,error,error
140620,Lewis & Clark,2013,174,1,5,120,120,253,11612,American West, Racing,error,error,error,error
154203,Imperial Settlers,2014,175,1,4,45,90,392,18906,Ancient, card, City Building, Civilization,error,error
188834,Secret Hitler,2016,176,5,10,45,45,202,14048,Bluffing, card, Deduction, Humor, Party Game, Political
19857,Glory to Rome,2005,177,2,5,60,60,245,12435,Ancient, card, City Building, Economic,error,error
24181,Imperial,2006,178,2,6,120,180,277,8040,Economic, War, Political,error,error,error
198994,Hero Realms,2016,179,2,4,20,30,106,9684,card, Fantasy, Fighting,error,error,error
97207,Dungeon Petz,2011,180,2,4,90,90,180,11622,Animals, Fantasy, Humor,error,error,error
127060,Bora Bora,2013,181,2,4,60,120,200,8516,Dice,error,error,error,error,error
218417,Aeon's End  War Eternal,2017,182,1,4,60,60,60,2181,card, Fantasy, Sci_Fi,error,error,error
27708,1960  The Making of the President,2007,183,2,2,90,120,219,8151,Political,error,error,error,error,error
22545,Age of Empires III  The Age of Discovery,2007,184,2,5,90,120,318,9631,Civilization, Exploration, Renaissance, Adaptation,error,error
108745,Seasons,2012,185,2,4,60,60,443,18627,card, Dice, Fantasy,error,error,error
38453,Space Alert,2008,186,1,5,30,30,316,14098,Electronic, Real-time, Sci_Fi, Space Exploration,error,error
203420,Exit  The Game \u2013 The Abandoned Cabin,2016,187,1,6,60,120,117,6964,Deduction, Puzzle, Real-time,error,error,error
193037,Dead of Winter  The Long Night,2016,188,2,5,60,120,73,6616,Bluffing, Deduction, Horror, Adult, Sci_Fi, Zombies
92828,Dixit  Odyssey,2011,189,3,12,30,30,148,14605,card, Humor, Party Game,error,error,error
93260,Summoner Wars  Master Set,2011,190,2,4,30,60,104,9954,card, Fantasy, Fighting,error,error,error
234,Hannibal  Rome vs. Carthage,1996,191,2,2,40,200,94,4641,Ancient, Political, War,error,error,error
59294,Runewars,2010,192,2,4,180,240,226,7461,Adventure, Fantasy, Fighting, War,error,error
199478,Flamme Rouge,2016,193,2,4,30,45,169,9049,Racing, Sports,error,error,error,error
146439,BattleLore (Second Edition),2013,194,2,2,45,90,64,5157,Fantasy, Miniatures, War,error,error,error
3,Samurai,1998,195,2,4,30,60,295,13920,strategy, Medieval,error,error,error,error
66589,Navegador,2010,196,2,5,60,90,163,7580,Economic, Exploration, War, Renaissance,error,error
181279,Fury of Dracula (Third\/Fourth Edition),2015,197,2,5,120,180,177,9614,Adventure, Deduction, Fighting, Horror, Adaptation,error
48726,Alien Frontiers,2010,198,2,4,90,90,280,13493,Dice, Sci_Fi,error,error,error,error
101721,Mage Wars Arena,2012,199,2,2,90,90,142,7038,card, Fantasy, Fighting,error,error,error
19777,Indonesia,2005,200,2,5,180,240,120,3751,Economic, industry_manuf, Transportation,error,error,error
189932,Tyrants of the Underdark,2016,201,2,4,60,60,93,3991,Fantasy,error,error,error,error,error
222509,Lords of Hellas,2018,202,1,4,60,90,88,4234,Ancient, Civilization, Mythology, Sci_Fi, Territory Building,error
13122,Antiquity,2004,203,2,4,120,180,94,3471,City Building, Civilization, Economic, Environmental, Medieval,error
169426,Roll Player,2016,204,1,4,60,90,139,9384,Dice, Fantasy,error,error,error,error
760,Battle Line,2000,205,2,2,30,30,161,14718,Ancient, card, Deduction,error,error,error
54138,Imperial 2030,2009,206,2,6,120,180,137,5340,Economic, War, Political,error,error,error
217372,The Quest for El Dorado,2017,207,2,4,30,60,119,7577,Adventure, Racing,error,error,error,error
144344,Rokoko,2013,208,2,5,60,120,139,6801,Age of Reason, Economic,error,error,error,error
172081,Burgle Bros.,2015,209,1,4,45,90,123,7076,Exploration, Maze, Print & Play, secret_agent,error,error
204583,\u05e7\u05d9\u05e0\u05d2\u05d3\u05d5\u05de\u05d9\u05e0\u05d5,2016,210,2,4,15,20,337,24282,City Building, Fantasy, Medieval, Territory Building,error,error
181304,Mysterium,2015,211,2,7,42,42,287,26797,Deduction, Horror, murder_mystery, Party Game,error,error
228341,Pulsar 2849,2017,212,2,4,60,90,117,4735,Dice, Sci_Fi, Space Exploration,error,error,error
172818,Above and Below,2015,213,2,4,90,90,143,11186,Adventure, City Building, Economic, Exploration, Fantasy, Farming
176734,The Manhattan Project  Energy Empire,2016,214,1,5,60,120,78,4170,Civilization, Dice, Economic, Environmental, industry_manuf,error
158600,\u82b1\u898b\u5c0f\u8def,2013,215,2,2,15,15,68,7728,card, Medieval, Adaptation,error,error,error
118,Modern Art,1992,216,3,5,45,45,232,15218,card, Economic,error,error,error,error
160477,Onitama,2014,217,2,2,15,20,82,12015,strategy, Ancient,error,error,error,error
17392,Here I Stand  Wars of the Reformation 1517-1555,2006,218,2,6,180,360,168,3397,Negotiation, Political, Religious, Renaissance, War,error
77130,Sid Meier's Civilization  The Board Game,2010,219,2,4,120,240,326,13748,City Building, Civilization, Exploration, Negotiation, Adaptation,error
197376,Charterstone,2017,220,1,6,45,75,183,9505,City Building, Economic, Medieval,error,error,error
45315,Dungeon Lords,2009,221,2,4,90,90,295,12385,Economic, Fantasy, Fighting, Humor,error,error
40692,Small World,2009,222,2,5,40,80,859,56405,Fantasy, Fighting, Territory Building,error,error,error
59959,Letters from Whitechapel,2011,223,2,6,60,60,351,12550,Bluffing, Deduction, murder_mystery, Post-War,error,error
2655,Hive,2000,224,2,2,20,20,250,26489,strategy, Animals,error,error,error,error
41114,Der Widerstand,2009,225,5,10,30,30,420,33382,Bluffing, card, Deduction, Negotiation, Party Game, Sci_Fi
163745,Star Wars  Armada,2015,226,2,2,120,120,52,4119,Collectible, Fighting, Miniatures, Adaptation, Sci_Fi, War
119890,Agricola  All Creatures Big and Small,2012,227,2,2,30,30,121,11481,Animals, Farming,error,error,error,error
139976,Cthulhu Wars,2015,228,2,4,90,120,101,3980,Fantasy, Fighting, Horror, Miniatures,error,error
136888,Bruges,2013,229,2,4,60,60,147,9391,card, City Building, Economic, Renaissance,error,error
25292,Merchants & Marauders,2010,230,2,4,180,180,283,11961,Adventure, Fighting, War, Pirates, Transportation,error
264220,Tainted Grail  The Fall of Avalon,2019,231,1,4,60,120,146,2019,Adventure, Exploration, Fantasy, Adult, Medieval, Mythology
206718,Ethnos,2017,232,2,6,45,60,127,7942,Fantasy,error,error,error,error,error
254640,Just One,2018,233,3,7,20,20,99,5731,Party Game, Word Game,error,error,error,error
209685,Century  Spice Road,2017,234,2,5,30,45,189,15127,card, Economic, Medieval,error,error,error
37046,Ghost Stories,2008,235,1,4,60,60,326,18181,Fantasy, Fighting, Horror, Mythology,error,error
176920,Mission  Red Planet (Second Edition),2015,236,2,6,45,90,121,7877,Sci_Fi,error,error,error,error,error
46213,Telestrations,2009,237,4,8,30,30,140,10974,Humor, Party Game, Real-time,error,error,error
232832,Century  Golem Edition,2017,238,2,5,30,45,57,4748,card, Economic, Fantasy,error,error,error
54,Tikal,1999,239,2,4,90,90,275,16843,Exploration, Territory Building,error,error,error,error
143693,Glass Road,2013,240,1,4,20,80,183,8347,City Building, Economic, Medieval,error,error,error
39856,Dixit,2008,241,3,6,30,30,571,44743,card, Humor, Party Game,error,error,error
5,Acquire,1964,242,2,6,90,90,313,17456,Economic,error,error,error,error,error
182134,Evolution  Climate,2016,243,2,6,60,60,83,5054,Animals, card, Educational, Environmental, Fighting, Prehistoric
21241,Neuroshima Hex! 3.0,2006,244,1,4,30,30,313,12427,Fighting, Sci_Fi,error,error,error,error
70919,Takenoko,2011,245,2,4,45,45,306,30438,Animals, Environmental, Farming, Territory Building,error,error
163967,Tiny Epic Galaxies,2015,246,1,5,30,45,208,13184,Dice, Sci_Fi, Space Exploration,error,error,error
1,Die Macher,1986,247,3,5,240,240,125,4904,Economic, Negotiation, Political,error,error,error
140934,Arboretum,2015,248,2,4,30,30,179,9818,Bluffing, card,error,error,error,error
33160,Endeavor,2009,249,3,5,90,90,232,8855,Exploration, War, Renaissance,error,error,error
25554,Notre Dame,2007,250,2,5,45,75,238,11636,Economic, Renaissance,error,error,error,error
129622,Love Letter,2012,251,2,4,20,20,854,50098,card, Deduction, Renaissance,error,error,error
266810,Paladins of the West Kingdom,2019,252,1,4,90,120,82,2472,Medieval,error,error,error,error,error
36932,Claustrophobia,2009,253,2,2,45,45,112,6417,Horror, Adventure, Exploration, Fantasy, Fighting, Miniatures
31594,In the Year of the Dragon,2007,254,2,5,75,100,245,10117,Economic, Medieval,error,error,error,error
40765,Clash of Cultures,2012,255,2,4,180,240,123,4899,Ancient, City Building, Civilization, Economic, Exploration, Territory Building
227789,Heaven & Ale,2017,256,2,4,60,90,106,4990,Economic, Farming, industry_manuf,error,error,error
8217,San Juan,2004,257,2,4,45,60,325,21295,card, City Building, Economic,error,error,error
2653,Survive  Escape from Atlantis!,1982,258,2,4,45,60,282,18357,Adventure, Animals, Bluffing, War,error,error
15985,Blood Bowl  Living Rulebook,2004,259,2,2,120,120,62,3296,Collectible, Expansion for Base-game, Fantasy, Fighting, Miniatures, Sports
24480,The Pillars of the Earth,2006,260,2,4,90,120,288,15501,Economic, Medieval, Adaptation, Religious,error,error
262712,Res Arcana,2019,261,2,4,20,60,100,3888,card, Fantasy,error,error,error,error
121,Frank Herbert's Dune,1979,262,2,6,60,180,158,5252,Bluffing, Fighting, Negotiation, Adaptation, Political, Sci_Fi
